frame,arm,activity,depth,cube_size,pushing_power,size_reduction,size_reduction_component,combined_reward
46,3,1.60,168,5,1.00,0.00,0.00,0.60
46,3,2.00,167,3,2.00,0.00,0.00,1.20
45,3,1.00,170,4,1.00,0.00,0.00,0.60
44,3,1.00,172,3,1.00,0.00,0.00,0.60
45,3,1.60,172,4,1.00,0.00,0.00,0.60
45,3,2.00,171,5,2.00,2.00,0.80,2.00
44,3,1.00,174,3,1.00,0.00,0.00,0.60
43,3,1.00,176,5,1.00,0.00,0.00,0.60
42,3,1.00,178,4,1.00,0.00,0.00,0.60
41,3,1.00,180,3,1.00,0.00,0.00,0.60
41,3,1.00,181,4,2.00,1.00,0.40,1.60
42,3,2.00,179,4,2.00,1.00,0.40,1.60
32,2,1.00,192,3,1.00,0.00,0.00,0.60
32,2,1.00,193,5,2.00,2.00,0.80,2.00
33,2,2.00,191,1,2.00,0.00,0.00,1.20
34,2,1.36,193,5,1.00,1.00,0.40,1.00
35,2,1.82,193,6,1.00,1.00,0.40,1.00
35,2,1.72,191,1,2.00,0.00,0.00,1.20
35,2,1.00,194,5,1.00,0.00,0.00,0.60
34,2,1.00,196,4,1.00,0.00,0.00,0.60
34,2,1.00,197,4,2.00,0.00,0.00,1.20
35,3,2.00,195,5,2.00,1.00,0.40,1.60
32,2,1.00,201,3,2.00,0.00,0.00,1.20
34,3,1.36,201,4,1.00,0.00,0.00,0.60
34,2,2.00,199,3,2.00,0.00,0.00,1.20
34,2,1.00,202,4,1.00,0.00,0.00,0.60
32,2,1.00,205,3,2.00,0.00,0.00,1.20
31,2,1.00,208,3,1.00,0.00,0.00,0.60
32,2,1.60,208,4,1.00,0.00,0.00,0.60
32,2,2.00,207,2,2.00,0.00,0.00,1.20
33,3,1.96,208,5,1.00,0.00,0.00,0.60
32,2,1.00,210,4,1.00,0.00,0.00,0.60
31,2,1.00,212,3,1.00,0.00,0.00,0.60
31,2,1.00,213,3,2.00,0.00,0.00,1.20
32,2,2.00,211,3,2.00,0.00,0.00,1.20
30,2,1.00,216,4,1.00,0.00,0.00,0.60
27,2,1.00,220,3,1.00,0.00,0.00,0.60
19,2,1.00,229,3,1.00,0.00,0.00,0.60
19,2,1.00,230,3,1.00,0.00,0.00,0.60
18,2,1.00,232,4,1.00,0.00,0.00,0.60
17,2,1.00,234,3,1.00,0.00,0.00,0.60
15,2,1.00,237,2,1.00,0.00,0.00,0.60
15,2,1.00,238,2,1.00,0.00,0.00,0.60
14,2,1.00,240,4,1.00,0.00,0.00,0.60
1,2,1.00,254,1,62.00,0.00,0.00,37.20
66,3,1.00,254,2,1.00,0.00,0.00,0.60
66,3,1.00,253,3,1.00,1.00,0.40,1.00
66,3,1.00,251,4,1.00,2.00,0.80,1.40
66,3,1.00,247,4,1.00,2.00,0.80,1.40
66,3,1.00,239,2,1.00,0.00,0.00,0.60
66,3,1.00,223,2,1.00,0.00,0.00,0.60
66,3,1.00,191,2,1.00,0.00,0.00,0.60
66,3,1.00,127,2,1.00,0.00,0.00,0.60
65,3,1.00,256,2,1.00,0.00,0.00,0.60
65,3,1.00,257,4,2.00,2.00,0.80,2.00
66,3,2.00,255,1,2.00,0.00,0.00,1.20
67,3,1.36,257,4,1.00,1.00,0.40,1.00
67,3,1.00,258,3,1.00,0.00,0.00,0.60
67,3,1.00,259,3,2.00,0.00,0.00,1.20
70,3,1.22,259,4,1.00,0.00,0.00,0.60
70,6,1.00,260,4,1.00,2.00,0.80,1.40
71,6,1.60,260,3,1.00,2.00,0.80,1.40
72,6,1.96,260,2,1.00,0.00,0.00,0.60
73,3,2.18,260,3,1.00,0.00,0.00,0.60
74,6,2.31,260,4,1.00,2.00,0.80,1.40
75,6,2.38,260,3,1.00,2.00,0.80,1.40
76,6,2.43,260,2,1.00,0.00,0.00,0.60
77,1,2.46,260,3,1.00,1.00,0.40,1.00
78,6,2.47,260,3,1.00,1.00,0.40,1.00
79,3,2.48,260,3,1.00,0.00,0.00,0.60
80,0,2.49,260,4,1.00,0.00,0.00,0.60
81,6,2.49,260,5,1.00,3.00,1.20,1.80
82,6,2.50,260,3,1.00,1.00,0.40,1.00
83,6,2.50,260,3,1.00,1.00,0.40,1.00
86,6,1.54,260,3,1.00,0.00,0.00,0.60
86,5,1.00,259,3,1.00,0.00,0.00,0.60
88,1,1.55,260,4,1.00,0.00,0.00,0.60
89,3,1.93,260,5,1.00,0.00,0.00,0.60
89,6,1.22,259,5,1.00,2.00,0.80,1.40
92,6,1.42,260,3,1.00,0.00,0.00,0.60
92,4,1.26,259,5,1.00,2.00,0.80,1.40
92,4,1.00,261,3,2.00,0.00,0.00,1.20
95,4,1.22,261,4,1.00,1.00,0.40,1.00
96,4,1.73,261,4,1.00,1.00,0.40,1.00
97,4,2.04,261,4,1.00,0.00,0.00,0.60
97,6,1.10,259,4,1.00,2.00,0.80,1.40
98,6,2.22,261,3,1.00,0.00,0.00,0.60
99,3,2.33,261,4,1.00,0.00,0.00,0.60
99,6,1.40,259,4,1.00,1.00,0.40,1.00
100,5,2.40,261,4,1.00,1.00,0.40,1.00
101,1,2.44,261,4,1.00,0.00,0.00,0.60
101,6,1.50,259,4,1.00,2.00,0.80,1.40
102,6,2.46,261,3,1.00,0.00,0.00,0.60
103,3,2.48,261,4,1.00,0.00,0.00,0.60
104,5,2.49,261,5,1.00,2.00,0.80,1.40
105,5,2.49,261,4,1.00,1.00,0.40,1.00
106,5,2.50,261,4,1.00,1.00,0.40,1.00
107,5,2.50,261,4,1.00,0.00,0.00,0.60
108,4,2.50,261,5,1.00,1.00,0.40,1.00
109,6,2.50,261,5,1.00,2.00,0.80,1.40
110,6,2.50,261,4,1.00,0.00,0.00,0.60
111,0,2.50,261,5,1.00,0.00,0.00,0.60
111,4,1.01,259,5,1.00,1.00,0.40,1.00
112,6,2.50,261,5,1.00,1.00,0.40,1.00
113,4,2.50,261,5,1.00,0.00,0.00,0.60
113,3,1.36,259,5,1.00,0.00,0.00,0.60
113,6,1.00,262,5,1.00,1.00,0.40,1.00
114,6,1.60,262,5,1.00,1.00,0.40,1.00
115,6,1.96,262,5,1.00,1.00,0.40,1.00
116,5,2.18,262,5,1.00,0.00,0.00,0.60
116,6,1.90,261,5,1.00,1.00,0.40,1.00
117,6,2.31,262,5,1.00,1.00,0.40,1.00
118,6,2.38,262,6,1.00,1.00,0.40,1.00
118,1,1.68,261,6,1.00,1.00,0.40,1.00
118,3,1.11,259,5,1.00,0.00,0.00,0.60
103,6,1.00,278,4,1.00,2.00,0.80,1.40
104,6,1.60,278,3,1.00,1.00,0.40,1.00
105,6,1.96,278,3,15.00,0.00,0.00,9.00
122,6,1.00,278,4,1.00,0.00,0.00,0.60
122,6,1.00,271,4,1.00,0.00,0.00,0.60
123,6,1.60,278,5,1.00,2.00,0.80,1.40
124,6,1.96,278,4,1.00,1.00,0.40,1.00
125,6,2.18,278,5,1.00,2.00,0.80,1.40
126,6,2.31,278,5,1.00,1.00,0.40,1.00
126,6,1.00,277,4,1.00,0.00,0.00,0.60
126,6,1.13,271,4,1.00,0.00,0.00,0.60
128,6,1.83,278,5,1.00,1.00,0.40,1.00
129,6,2.10,278,5,1.00,1.00,0.40,1.00
130,6,2.26,278,5,1.00,1.00,0.40,1.00
131,6,2.36,278,5,1.00,1.00,0.40,1.00
132,6,2.41,278,5,1.00,1.00,0.40,1.00
133,6,2.45,278,5,1.00,1.00,0.40,1.00
134,6,2.47,278,6,1.00,1.00,0.40,1.00
134,6,1.02,277,6,1.00,1.00,0.40,1.00
134,6,1.00,275,5,1.00,0.00,0.00,0.60
105,6,1.00,308,3,1.00,1.00,0.40,1.00
106,6,1.60,308,3,1.00,0.00,0.00,0.60
107,6,1.96,308,4,1.00,1.00,0.40,1.00
108,6,2.18,308,4,1.00,1.00,0.40,1.00
109,6,2.31,308,4,1.00,1.00,0.40,1.00
110,6,2.38,308,4,1.00,1.00,0.40,1.00
110,6,2.00,303,6,2.00,3.00,1.20,2.40
